300 768
74 149 29
74 272 43
75 76 100
75 87 9
75 147 23
75 254 25
76 77 100
76 180 25
76 218 7
77 36 7
77 66 25
77 78 100
77 217 9
78 79 100
78 97 46
79 80 100
79 100 20
79 186 42
79 245 25
80 45 4
80 81 100
80 182 13
81 82 100
82 83 100
82 99 5
82 109 15
83 84 100
83 280 29
84 85 100
84 197 38
85 47 44
85 86 100
86 87 100
86 155 11
86 167 21
87 88 100
87 97 36
87 118 12
87 191 49
88 89 100
88 269 7
89 1 39
89 90 100
90 14 23
90 88 6
90 91 100
90 259 36
91 28 5
91 92 100
91 142 43
91 212 11
92 90 33
92 93 100
93 16 23
93 39 3
93 94 100
93 234 34
94 35 29
94 95 100
95 96 100
95 108 15
95 158 30
96 97 100
96 142 9
96 182 26
96 185 30
97 98 100
98 21 5
98 99 100
98 144 12
98 277 9
99 87 18
99 100 100
99 244 33
99 263 17
100 101 100
101 102 100
101 233 31
102 32 34
102 59 31
102 92 11
102 103 100
103 104 100
103 120 16
103 130 12
103 215 10
104 105 100
104 159 8
105 4 19
105 106 100
105 114 15
106 78 32
106 107 100
106 165 46
107 93 32
107 108 100
107 242 35
108 109 100
109 110 100
109 192 26
109 253 31
110 108 36
110 111 100
111 9 4
111 112 100
111 203 8
111 205 10
112 0 1
112 113 100
112 210 28
113 78 33
113 114 100
114 54 17
114 115 100
114 195 16
114 200 44
115 55 8
115 116 100
115 151 41
115 202 45
116 117 100
117 118 100
117 211 43
118 69 46
118 119 100
118 221 46
119 120 100
119 165 47
119 280 25
120 121 100
120 197 49
120 244 30
120 280 16
121 122 100
121 176 32
121 227 38
121 238 13
122 123 100
122 141 9
122 238 43
123 124 100
123 183 30
123 193 27
123 199 21
124 125 100
125 9 35
125 126 100
125 155 41
126 33 25
126 127 100
126 153 3
127 115 32
127 123 13
127 128 100
127 135 8
128 5 36
128 129 100
129 130 100
129 134 24
129 243 29
130 17 4
130 66 11
130 131 100
130 192 30
131 132 100
131 138 22
131 277 37
132 100 27
132 133 100
132 269 38
132 285 47
133 134 100
134 135 100
134 284 23
135 136 100
135 137 39
135 229 45
135 290 10
136 137 100
136 228 48
137 120 28
137 138 100
138 139 100
138 143 18
138 186 10
139 140 100
139 181 43
139 274 11
140 141 100
141 59 32
141 142 100
142 17 28
142 143 100
142 202 30
143 72 1
143 103 1
143 144 100
144 51 22
144 145 100
144 180 38
144 266 46
145 146 100
145 238 32
146 46 15
146 147 100
146 264 18
146 269 37
147 81 47
147 148 100
148 149 100
149 84 9
149 150 100
149 186 36
149 277 10
150 151 100
151 52 7
151 68 47
151 152 100
152 153 100
153 154 100
154 155 100
155 156 100
155 194 45
156 157 100
157 21 20
157 148 22
157 158 100
158 73 45
158 159 100
159 57 2
159 129 40
159 160 100
160 10 26
160 60 33
160 106 49
160 161 100
161 98 44
161 162 100
161 194 17
162 163 100
163 93 37
163 164 100
163 204 45
163 240 35
164 165 100
164 242 10
165 16 5
165 47 12
165 166 100
166 167 100
167 17 44
167 168 100
167 283 3
168 140 13
168 169 100
168 175 24
168 176 9
169 67 13
169 170 100
169 174 36
169 277 26
170 161 1
170 171 100
170 279 18
171 172 100
172 120 16
172 173 100
172 203 32
173 80 35
173 174 100
174 64 38
174 175 100
175 176 100
175 205 1
176 96 33
176 158 42
176 177 100
176 255 30
177 76 4
177 178 100
178 159 41
178 179 100
178 266 30
179 7 1
179 107 3
179 180 100
179 221 17
180 87 35
180 181 100
181 23 10
181 145 46
181 152 23
181 182 100
182 183 100
183 184 100
184 185 100
185 183 5
185 186 100
185 288 43
186 187 100
187 188 100
187 227 39
188 189 100
189 190 100
189 220 37
189 276 5
190 82 12
190 191 100
190 242 5
190 283 5
191 83 9
191 192 100
191 281 38
192 193 100
193 130 33
193 194 100
193 207 23
193 253 17
194 180 7
194 195 100
195 196 100
196 41 33
196 197 100
197 198 100
198 93 47
198 174 11
198 199 100
198 200 26
199 36 2
199 63 23
199 154 20
199 200 100
200 201 100
201 130 1
201 202 100
202 25 39
202 37 23
202 203 100
203 14 26
203 204 100
203 205 45
203 260 4
204 205 100
205 32 20
205 178 32
205 206 100
205 210 27
206 207 100
206 246 29
207 29 40
207 66 39
207 112 19
207 208 100
208 209 100
208 224 46
209 187 25
209 190 26
209 210 100
209 249 36
210 201 2
210 211 100
210 226 30
211 212 100
212 213 100
213 214 100
214 55 33
214 93 6
214 215 100
214 253 37
215 30 24
215 81 10
215 86 33
215 216 100
216 42 15
216 66 25
216 217 100
216 233 46
217 69 34
217 193 43
217 218 100
218 219 100
218 231 2
218 249 40
219 185 38
219 220 100
219 232 14
220 221 100
221 51 9
221 107 22
221 113 32
221 222 100
222 223 100
223 224 100
223 260 30
224 225 100
225 81 30
225 110 20
225 224 20
225 226 100
226 227 100
227 129 44
227 141 15
227 202 23
227 228 100
228 229 100
229 230 100
230 90 7
230 224 24
230 231 100
231 57 43
231 232 100
232 233 100
233 55 1
233 234 100
234 52 3
234 86 40
234 195 34
234 235 100
235 232 6
235 236 100
235 258 11
235 298 27
236 139 41
236 237 100
236 267 35
237 58 42
237 238 100
238 239 100
239 97 18
239 159 23
239 240 100
240 162 1
240 215 23
240 241 100
241 57 34
241 242 100
242 70 33
242 243 100
243 244 100
244 154 21
244 245 100
245 15 5
245 246 100
246 54 18
246 156 14
246 247 100
246 263 49
247 248 100
247 256 34
248 115 7
248 127 6
248 180 48
248 249 100
249 250 100
250 47 40
250 93 20
250 136 27
250 251 100
251 26 2
251 252 100
251 291 47
252 253 100
253 65 39
253 125 10
253 254 100
253 269 2
254 22 23
254 122 23
254 255 100
255 60 40
255 250 28
255 256 100
256 21 48
256 142 19
256 257 100
257 258 100
257 279 45
258 259 100
259 26 41
259 260 100
259 262 10
259 276 46
260 56 15
260 152 1
260 188 13
260 261 100
261 10 36
261 105 43
261 262 100
262 165 34
262 263 100
263 129 1
263 187 32
263 264 100
263 298 18
264 29 13
264 55 36
264 240 15
264 265 100
265 2 35
265 266 100
266 3 44
266 44 46
266 53 32
266 267 100
267 164 8
267 261 14
267 268 100
268 66 6
268 135 43
268 163 23
268 269 100
269 56 13
269 270 100
269 272 19
269 286 9
270 271 100
270 275 31
271 184 26
271 272 100
272 150 35
272 273 100
273 274 100
274 156 44
274 185 34
274 275 100
275 276 100
276 217 23
276 236 9
276 277 100
277 100 32
277 278 100
278 279 100
279 280 100
280 281 100
281 282 100
282 63 19
282 283 100
283 38 1
283 43 37
283 159 26
283 284 100
284 285 100
285 286 100
286 70 21
286 269 42
286 287 100
287 139 47
287 143 5
287 288 100
288 64 14
288 134 23
288 192 14
288 289 100
289 175 43
289 290 100
290 193 49
290 291 33
291 96 32
291 116 26
291 222 43
291 292 100
292 175 5
292 285 16
292 293 100
293 13 39
293 155 46
293 294 100
294 235 7
294 295 100
295 2 41
295 69 30
295 296 100
296 156 39
296 297 100
297 298 100
298 299 100
299 58 2
299 87 13
299 277 28
